name,description,ignore,type,formula,minbin,missing
ALMOST_ALL_MISSING_CAT,,,category,,,
CAT_BUAFCDDALD,,,category,,,
CAT_CBOYYGZXUN,,,category,,,
CAT_DDLFMTKKKJ,,,category,,,
CAT_EHOARYPSLT,,,category,,,
CAT_FRRBJUOOEG,,,category,,,
CAT_IJQPZVWEJU,,,category,,,
CAT_KJSHSWGDLJ,,,category,,,
CAT_LJSNBPBFOD,,,category,,,
CAT_MWEIZMIQXW,,,category,,,
CAT_OTOHRDHFIJ,,,category,,,
CAT_RBKYBDJXWN,,,category,,,
CAT_SCOTFUVDVF,,,category,,,
CAT_SYQHOERDYH,,,category,,,
CAT_UVINBBXSLA,,,category,,,
CAT_WYBMUAZLOK,,,category,,,
CAT_XIAJMFBECH,,,category,,,
CAT_YECAECHOTC,,,category,,,
DATE_ADEOAKOSBP,,,date,,,
DATE_FRZUJWZGQZ,,,date,,,
DATE_IZQCVCUWTS,,,date,,,
DATE_OOXTUAZXTC,,,date,,,
DATE_VZMQMKEPPT,,,date,,,
NUM_ALCEQQMWDR,,,number,,,
NUM_BVUFCECEHU,,,number,,,
NUM_CXQFNOKPVR,,,number,,,
NUM_EKCLOYCRVL,,,number,,,
NUM_FRKHAYMWQZ,,,number,,,
NUM_ICHITXHXZT,,,number,,,
NUM_JXKXAPOIPG,,,number,,,
NUM_MEADKDBEWJ,,,number,,,
NUM_MUJTEEVGQY,,,number,,,
NUM_OMGOUHSHAS,,,number,,,
NUM_PWZBRKOMAS,,,number,,,
NUM_RYQTVKWCGB,,,number,,,
NUM_TLYQAHANXA,,,number,,,
NUM_UZEXLWXWBV,,,number,,,
NUM_WCNOPSDGTA,,,number,,,
NUM_XCSVFOJOUH,,,number,,,
NUM_YMKYBWUSIB,,,number,,,
NUM_ZRYLZVFWAV,,,number,,,
ALMOST_ALL_MISSING_NUM,,,number,,,
CAT_CACDNWIXCR,,,category,,,
CAT_CUUAUTVAEF,,,category,,,
CAT_DSKDQDNAEJ,,,category,,,
CAT_EVHGRNLHJV,,TRUE,category,,,
CAT_HDOGHILJDA,,,category,,,
CAT_JSCHOWUMXO,,,category,,,
CAT_LDCKBGSOFP,,,category,,,
CAT_MCFTPPZZFN,,,category,,,
CAT_NVMQHAXFQF,,,category,,,
CAT_PQEUNQIVXF,,,category,,,
CAT_RXMWDDJXUS,,,category,,,
CAT_SQDVSOLBBO,,,category,,,
CAT_UATXTIBQTY,,,category,,,
CAT_VPSVTLOUJD,,,category,,,
CAT_XFCXWYCSCJ,,,category,,,
CAT_XQMVPXAWQS,,,category,,,
CAT_YULQOOYRJU,,,category,,,
DATE_DJQPBJPPOS,,,date,,,
DATE_HNIKAEBGTB,,TRUE,date,,,
DATE_NHKWXENWBU,,,date,,,
DATE_VMWXYPHYZA,,,date,,,
DATE_YVQKWAMXAA,,,date,,,
NUM_BAZQTENCCA,,,number,,,
NUM_CMJXCFNYZK,,,number,,,
NUM_DOTHHYTXJN,,,number,,,
NUM_FHXUYEKMGG,,,number,,,
NUM_GTZOUBFWKR,,,number,,,
NUM_JIZSHGLRAO,,,number,,,
NUM_LWCPUKLMEJ,,,number,,,
NUM_MQKKEMYGNO,,,number,,,
NUM_NQKKVSSXYZ,,,number,,,
NUM_POCJJTKQZB,,,number,,,
NUM_QSATTTVCGN,,TRUE,number,,,
NUM_SMVPFGUTRS,,,number,,,
NUM_UQUYTGMKUI,,,number,,,
NUM_VVUHOYFBHT,,,number,,,
NUM_WUJIFKNXGM,,,number,,,
NUM_YGPSRVEIHX,,,number,,,
NUM_YZXUJVCYKS,,,number,,,
TEXT,,,text,,,
CAT_ALSYULNRIS,,,category,,,
CAT_CAUZHXKSCF,,,category,,,
CAT_DBLARZOOYP,,,category,,,
CAT_ECTZTTTYFQ,,,category,,,
CAT_FNLHBATBQN,,TRUE,category,,,
CAT_HRBNPDROGD,,,category,,,
CAT_KJAJHSBJYL,,,category,,,
CAT_LEPBEORGNN,,,category,,,
CAT_MMBQIKQRGH,,,category,,,
CAT_OKIKECVYXL,,,category,,,
CAT_QAMMREJYAW,,,category,,,
CAT_RYUSBNZFIG,,,category,,,
CAT_SRNLGMVVZH,,,category,,,
CAT_UJGFXGKHBD,,,category,,,
CAT_VSTIUVTPFK,,,category,,,
CAT_XFJKXVVKPS,,,category,,,
CAT_XVRTVULEBR,,,category,,,
CAT_ZLPVXPOBWJ,,,category,,,
DATE_DTMSEFMLBA,,,date,,,
DATE_IDMDXMNTIJ,,,date,,,
DATE_NROFSBEVZU,,,date,,,
DATE_VPJNKGHUUF,,TRUE,date,,,
NUM_ABVJYYEHJT,,,number,,,
NUM_BJEUJVHROB,,,number,,,
NUM_CVDQIOUQHM,,,number,,,
NUM_DPYMPFVYJD,,,number,,,
NUM_FPBJNIRVZT,,,number,,,
NUM_HYZTGIWYVC,,,number,,,
NUM_JKBLOGJMKM,,,number,,,
NUM_MCAVCQYWRZ,,,number,,,
NUM_MRPBMFWNYQ,,,number,,,
NUM_OGJDDNMWSU,,,number,,,
NUM_PQTZTKHEYG,,,number,,,
NUM_RBHYGQJIPP,,TRUE,number,,,
NUM_SYFRDNECUD,,,number,,,
NUM_UYRGNTMZBR,,,number,,,
NUM_WANBPQEZFA,,,number,,,
NUM_XAOZOUSWSP,,,number,,,
NUM_YLJJXSTKRC,,,number,,,
NUM_ZBCIMUYKSX,,,number,,,
weight,,,number,,,
CAT_BKDCTEUOGF,,,category,,,
CAT_BWDVTJFUPE,,,category,,,
CAT_CBUJLZTUVZ,,,category,,,
CAT_DNFRPOTGSU,,,category,,,
CAT_ENVOWOLNPC,,,category,,,
CAT_FZYBDPXYUX,,,category,,,
CAT_JQNKMNNYNS,,,category,,,
CAT_KNXMYOLDKM,,TRUE,category,,,
CAT_LKEUJGVDEH,,,category,,,
CAT_NOLHXJNKGZ,,,category,,,
CAT_PDFUDPIWOK,,,category,,,
CAT_RSKIXOWDMO,,,category,,,
CAT_SGLPPLTHYH,,,category,,,
CAT_TCKACGVZKE,,,category,,,
CAT_UWBVJTSDFM,,,category,,,
CAT_WZGRXFZOQK,,,category,,,
CAT_XMIRJAUIXY,,,category,,,
CAT_YEUNVCHSKL,,,category,,,
DATE_ALSQONGYFU,,,date,,,
DATE_GTBSBQPCFN,,,date,,,
DATE_JUIXLEQDAW,,,date,,,
DATE_PUGCVYXBSE,,,date,,,
DATE_XNFVADQYEG,,TRUE,date,,,
NUM_AQXGEDCFVW,,,number,,,
NUM_CKFIHLADUJ,,,number,,,
NUM_DHJGWEWMKA,,,number,,,
NUM_FBMVBKTGIV,,,number,,,
NUM_FTTRLBOLAB,,,number,,,
NUM_IUMIKNUISB,,TRUE,number,,,
NUM_LCFAABCILW,,,number,,,
NUM_MPCWIJONIJ,,,number,,,
NUM_NCSSCHDBQG,,,number,,,
NUM_PAWJNABOEG,,,number,,,
NUM_QFBEJQXHJF,,,number,,,
NUM_RZBYEVZKQM,,,number,,,
NUM_UJWFPELTGB,,,number,,,
NUM_VCNKHWYDHE,,,number,,,
NUM_WHCSWUSOGA,,,number,,,
NUM_XEIAEBMGJA,,,number,,,
NUM_YUCWXPYLUM,,,number,,,
NUM_ZZLJAIFOAG,,,number,,,
CAT_BOKMMDAEXO,,,category,,,
CAT_BZVYVKJGOU,,,category,,,
CAT_CFWDPGAVSZ,,,category,,,
CAT_DNTLNDSMQX,,,category,,,
CAT_ERVDCHVMUH,,TRUE,category,,,
CAT_GYVQPFCUOR,,,category,,,
CAT_JRSAISRDPB,,,category,,,
CAT_LBKVYSIRCE,,,category,,,
CAT_LOQHBRDDKX,,,category,,,
CAT_NVDWPRGAZZ,,,category,,,
CAT_PNMEEZFEDN,,,category,,,
CAT_RTKHLVOTTF,,,category,,,
CAT_SNYEKLKLSN,,,category,,,
CAT_TQTRAUHQOU,,,category,,,
CAT_VIHEBBHYAY,,,category,,,
CAT_XAAJHFBINA,,,category,,,
CAT_XNIGHYIYGM,,,category,,,
CAT_YOGIYYBCLV,,,category,,,
DATE_CJDLRYQBMZ,,,date,,,
DATE_HKATGGKZSD,,TRUE,date,,,
DATE_KQHRKMUSKC,,,date,,,
DATE_SBNOGZDIGN,,,date,,,
DATE_YQUQGFBPXV,,,date,,,
NUM_AXXHSJVVCB,,,number,,,
NUM_CMDIPPBTMR,,,number,,,
NUM_DHXFSAASUE,,,number,,,
NUM_FCUYBCUYJA,,TRUE,number,,,
NUM_GBSETBASQP,,,number,,,
NUM_IUSSDEQEZX,,,number,,,
NUM_LFXNXXWLVC,,,number,,,
NUM_MQGMPZXAKY,,,number,,,
NUM_NMNOAAHPGW,,,number,,,
NUM_PLNJABMPRC,,,number,,,
NUM_QIIZRBWMSI,,,number,,,
NUM_SDFSVFRDCT,,TRUE,number,,,
NUM_UKZIWECJVG,,,number,,,
NUM_VPRNUAAONP,,,number,,,
NUM_WIWPYBFCDH,,,number,,,
NUM_YCZYGMYOCQ,,,number,,,
NUM_YVZVMHYQDJ,,,number,,,
TARGET,,,category,,,
