name,description,ignore,type,formula,minbin,missing
ALMOST_ALL_MISSING_CAT,,,category,,,
CAT_BFRNJZHCNO,,,category,,,
CAT_CTPENLLQWD,,,category,,,
CAT_EKCZFKTUYN,,,category,,,
CAT_FIOZLWMXLW,,,category,,,
CAT_HNKUSGNWJE,,,category,,,
CAT_HYFABCCRKQ,,,category,,,
CAT_KIIVBPRUSH,,,category,,,
CAT_LGJFQRHGXY,,,category,,,
CAT_MKMYPYDUIH,,,category,,,
CAT_NGGIATAEQS,,,category,,,
CAT_PAKIKWQWVW,,,category,,,
CAT_TSMAPYRJCP,,,category,,,
CAT_UMKCROYIVH,,,category,,,
CAT_VVLCRZXOTY,,,category,,,
CAT_WTXXTXXLTR,,,category,,,
CAT_XZGFIPVIYI,,,category,,,
CAT_ZGVYBWDJMT,,,category,,,
DATE_ADXKOFHWUI,,TRUE,date,,,
DATE_CZJEKLZFPF,,,date,,,
DATE_NNJAWVCCDT,,,date,,,
DATE_SRLJGORHLO,,,date,,,
DATE_WUIONJBIMD,,,date,,,
NUM_APLHRAPRVP,,,number,,,
NUM_BHMUTOBNRL,,,number,,,
NUM_CXEKSVPABT,,,number,,,
NUM_DPKCYDUEXQ,,,number,,,
NUM_EZIFCIOCVS,,TRUE,number,,,
NUM_HBCVIEWODL,,,number,,,
NUM_IPSQGRBWJK,,,number,,,
NUM_LDQVTDDQXS,,,number,,,
NUM_MOSUTOTNBW,,,number,,,
NUM_NKALPQUQJQ,,,number,,,
NUM_OXEYLUFUUX,,,number,,,
NUM_QKPJMSXOKI,,,number,,,
NUM_RHAFXBIMIX,,,number,,,
NUM_UESPWBMTEH,,,number,,,
NUM_WOTDHDGCHG,,,number,,,
NUM_XIDGWFQOBD,,,number,,,
NUM_YLIYYPJROD,,,number,,,
NUM_ZLNKHOKEUC,,,number,,,
ALMOST_ALL_MISSING_NUM,,,number,,,
CAT_CGBNDLZEPA,,,category,,,
CAT_EJAEDJBOPK,,,category,,,
CAT_FINOGXNPYB,,,category,,,
CAT_GVDUXCYHHI,,,category,,,
CAT_HXVONXYMSX,,,category,,,
CAT_JEISOBRHFD,,,category,,,
CAT_KWCZVAHTCZ,,,category,,,
CAT_LYTNDFUDMZ,,,category,,,
CAT_NBQWTIUVIS,,,category,,,
CAT_OXYHUBYYTN,,,category,,,
CAT_SXJQAGFUYK,,,category,,,
CAT_UGXJVHJYMK,,,category,,,
CAT_VRLHGHBHRF,,,category,,,
CAT_WNWZZUNLCA,,,category,,,
CAT_XRQALMMCBG,,,category,,,
CAT_ZGFAJINIMV,,,category,,,
CAT_ZSSKKRYEVG,,,category,,,
DATE_CTPBKZWBRN,,,date,,,
DATE_MJCXELWRFG,,,date,,,
DATE_RYHUTYRWAO,,,date,,,
DATE_VSYBIHZVFS,,,date,,,
NUM_ACZYMIDHCX,,,number,,,
NUM_BEBFFWMXTO,,,number,,,
NUM_CLQHKTMYDW,,,number,,,
NUM_DNSHTMGSQM,,,number,,,
NUM_ESEDPTWEWQ,,,number,,,
NUM_GIMMYCGSIV,,,number,,,
NUM_IMTENXNLSN,,,number,,,
NUM_KSQVOOLYFS,,TRUE,number,,,
NUM_MDOLQIPXCV,,,number,,,
NUM_NJJCNLDYAK,,,number,,,
NUM_OHFJSLRALP,,,number,,,
NUM_PUGIQZCWKU,,,number,,,
NUM_RCQNQCCUDC,,,number,,,
NUM_TDWROVLZZX,,,number,,,
NUM_VZORIDMPGC,,,number,,,
NUM_XALDASTLNU,,,number,,,
NUM_YKKMUXODVU,,,number,,,
NUM_ZGQCDESXOR,,,number,,,
weight,,,number,,,
CAT_AKUOBSOVDM,,,category,,,
CAT_BNDHJCPDWW,,,category,,,
CAT_ECQVWXCALW,,,category,,,
CAT_EYGHLPYZTP,,,category,,,
CAT_FQZGFBUJST,,,category,,,
CAT_HRFSLWIPKD,,,category,,,
CAT_IHSDYQIDAU,,,category,,,
CAT_KVEMOPNMXD,,,category,,,
CAT_LVMRFDHFTH,,,category,,,
CAT_MQLNBAVOLZ,,,category,,,
CAT_NURBPZBIDJ,,,category,,,
CAT_QQBGYXAKNF,,,category,,,
CAT_TZWYOTFMBT,,,category,,,
CAT_VIVEHIAXVK,,,category,,,
CAT_WIROWVFYMH,,TRUE,category,,,
CAT_XPGRHWGFQC,,,category,,,
CAT_YEVFMJLHGY,,,category,,,
CAT_ZOQYILKIUK,,,category,,,
DATE_BUSAKYVLGO,,,date,,,
DATE_FUIHMTFRGO,,,date,,,
DATE_QQDAIOLATH,,,date,,,
DATE_TZGIKDQOBH,,,date,,,
DATE_WVCSVSRGAA,,,date,,,
NUM_ARJTPIGNVT,,,number,,,
NUM_BLDDKMQBJR,,,number,,,
NUM_DDTDXHTLKX,,,number,,,
NUM_EKTBWTPADW,,,number,,,
NUM_FTQPZMIDVZ,,,number,,,
NUM_HZDMNWGHYT,,,number,,,
NUM_KFRKGPODVX,,,number,,,
NUM_LJNYNXUPJE,,,number,,,
NUM_MZQLUTGBID,,,number,,,
NUM_NUAUWPZJUZ,,,number,,,
NUM_PDJCOBPLOD,,,number,,,
NUM_QRVGHPVLAD,,TRUE,number,,,
NUM_ROHEXAOEHX,,,number,,,
NUM_VETGBFUZIA,,,number,,,
NUM_WULDOYVHBL,,,number,,,
NUM_XMLJEKTURN,,,number,,,
NUM_ZGHWATQZFT,,,number,,,
TARGET,,,number,,,
CAT_ANWWNRRYAJ,,,category,,,
CAT_BKYRJOFVAQ,,,category,,,
CAT_DNDTCCRBBF,,,category,,,
CAT_EQJDIKOHNN,,,category,,,
CAT_FPBSZVAGNM,,,category,,,
CAT_HOPUACKQWM,,,category,,,
CAT_ICQBDUZNPU,,,category,,,
CAT_KKNWDENDYE,,,category,,,
CAT_LGQIGQZJRE,,,category,,,
CAT_MPYPUIJXBZ,,,category,,,
CAT_NHZEBTIXCT,,,category,,,
CAT_PKJEYKODGP,,,category,,,
CAT_TTOKDQXYIZ,,,category,,,
CAT_VENYVISNFQ,,,category,,,
CAT_WDDWETKUQN,,,category,,,
CAT_XAOGXLGAPC,,,category,,,
CAT_YAIHIIKCFY,,,category,,,
CAT_ZKPTLFQFSF,,,category,,,
DATE_BEARLCYMBS,,,date,,,
DATE_FEEJRYXSUA,,TRUE,date,,,
DATE_NWHSPMHSVC,,,date,,,
DATE_SXBAQGKUHE,,,date,,,
DATE_WUJUROGXRM,,,date,,,
NUM_AQOYWMQYGL,,,number,,,
NUM_BIZZGAUKXY,,,number,,,
NUM_CXVPQREGQU,,,number,,,
NUM_DWHDUXHRCD,,,number,,,
NUM_FQJGVHCRIQ,,,number,,,
NUM_HEJZCMROEB,,,number,,,
NUM_JKEPTLSRWU,,,number,,,
NUM_LHTMBIYSHX,,,number,,,
NUM_MWXSEUEJCQ,,,number,,,
NUM_NKSYEAFBOD,,,number,,,
NUM_OXVBEPQPAZ,,,number,,,
NUM_QQGFJEUAGT,,,number,,,
NUM_RMDEYDPKUU,,,number,,,
NUM_UWWNOOKZZT,,,number,,,
NUM_WSZFMVCIBN,,,number,,,
NUM_XKURMZMDFZ,,,number,,,
NUM_YWYRMXTJLD,,,number,,,
NUM_ZTVZLRINXJ,,,number,,,
CAT_BDLZEHEPUN,,,category,,,
CAT_BUUEKKTXMZ,,,category,,,
CAT_EIDSTZGKOP,,,category,,,
CAT_EYZFUJYJQZ,,,category,,,
CAT_FUKPBKXOIN,,TRUE,category,,,
CAT_HVMOYALXIF,,,category,,,
CAT_JCKXBXWXYB,,,category,,,
CAT_KVYLIPPYLX,,,category,,,
CAT_LVTEGVOLGE,,,category,,,
CAT_MUXYPAPIEE,,,category,,,
CAT_OUWDGMJMTJ,,,category,,,
CAT_QYRHCECNVJ,,,category,,,
CAT_UFNTYJWGFY,,,category,,,
CAT_VPCYHEYVKH,,,category,,,
CAT_WMNTJGMBRA,,,category,,,
CAT_XQZAOLNBCY,,,category,,,
CAT_YUKIKEFXPE,,,category,,,
CAT_ZPHHGBQDUH,,TRUE,category,,,
DATE_CPIRGIDSUM,,,date,,,
DATE_LKATVPNKWC,,,date,,,
DATE_RPGXAEBLGR,,,date,,,
DATE_UCAJAVKOAZ,,,date,,,
DATE_WVYHDBUSUU,,,date,,,
NUM_BBVWRQNTUO,,,number,,,
NUM_CDFYPVJSVB,,,number,,,
NUM_DKZFNLEKCD,,,number,,,
NUM_ERFMWCSGAX,,,number,,,
NUM_GDSWJBCAYD,,,number,,,
NUM_IKURPYUVAE,,,number,,,
NUM_KMIULVBMCD,,,number,,,
NUM_LQOELVXPDQ,,,number,,,
NUM_NAIQVZBXDB,,,number,,,
NUM_OBZFXVYJXW,,,number,,,
NUM_PGPFAUHOHL,,,number,,,
NUM_QYPZUAQFOK,,TRUE,number,,,
NUM_SCRMAPSJEW,,,number,,,
NUM_VNKEOSPWLM,,,number,,,
NUM_WUUWNCAFTU,,,number,,,
NUM_XNYPPOFLMH,,,number,,,
NUM_ZGLYENAZYI,,,number,,,
TEXT,,,text,,,
